2026-05-27 15:33:06 | DEBUG    | browser | Downloaded: GeM-Bidding-9246893.pdf
2026-05-27 15:33:11 | DEBUG    | browser | Downloaded: GeM-Bidding-9255239.pdf
2026-05-27 15:33:18 | DEBUG    | browser | Downloaded: GeM-Bidding-9295700.pdf
2026-05-27 15:33:26 | DEBUG    | browser | Downloaded: GeM-Bidding-9206750.pdf
2026-05-27 15:33:32 | DEBUG    | browser | Downloaded: GeM-Bidding-9351575.pdf
2026-05-27 15:33:38 | DEBUG    | browser | Downloaded: GeM-Bidding-9257018.pdf
2026-05-27 15:33:44 | DEBUG    | browser | Downloaded: GeM-Bidding-9318506.pdf
2026-05-27 15:33:50 | DEBUG    | browser | Downloaded: GeM-Bidding-9284375.pdf
2026-05-27 15:33:57 | DEBUG    | browser | Downloaded: GeM-Bidding-9383406.pdf
2026-05-27 15:34:30 | DEBUG    | browser | Filters reset
2026-05-27 15:34:30 | INFO     | browser | Selecting filter: Limited Tender
2026-05-27 15:34:40 | DEBUG    | browser | Downloaded: GeM-Bidding-9263367.pdf
2026-05-27 15:34:50 | DEBUG    | browser | Downloaded: GeM-Bidding-9335396.pdf
2026-05-27 15:35:02 | DEBUG    | browser | Downloaded: GeM-Bidding-9324305.pdf
2026-05-27 15:35:12 | DEBUG    | browser | Downloaded: GeM-Bidding-9267770.pdf
2026-05-27 15:35:24 | DEBUG    | browser | Downloaded: GeM-Bidding-9247152.pdf
2026-05-27 15:35:37 | DEBUG    | browser | Downloaded: GeM-Bidding-9307439.pdf
2026-05-27 15:35:47 | DEBUG    | browser | Downloaded: GeM-Bidding-9357247.pdf
2026-05-27 15:35:57 | DEBUG    | browser | Downloaded: GeM-Bidding-9261909.pdf
2026-05-27 15:36:13 | DEBUG    | browser | Downloaded: GeM-Bidding-9309367.pdf
2026-05-27 15:36:33 | DEBUG    | browser | Downloaded: GeM-Bidding-9309515.pdf
2026-05-27 15:36:49 | DEBUG    | browser | Filters reset
2026-05-27 15:36:49 | INFO     | browser | Selecting filter: Single Tender
2026-05-27 15:36:58 | DEBUG    | browser | Downloaded: GeM-Bidding-9295485.pdf
2026-05-27 15:37:09 | DEBUG    | browser | Downloaded: GeM-Bidding-9236027.pdf
2026-05-27 15:37:42 | DEBUG    | browser | Downloaded: GeM-Bidding-9319890.pdf
2026-05-27 15:37:59 | DEBUG    | browser | Downloaded: GeM-Bidding-9251958.pdf
2026-05-27 15:38:13 | DEBUG    | browser | Downloaded: GeM-Bidding-9295551.pdf
2026-05-27 15:38:32 | DEBUG    | browser | Downloaded: GeM-Bidding-9294733.pdf
2026-05-27 15:38:48 | DEBUG    | browser | Downloaded: GeM-Bidding-9308528.pdf
2026-05-27 15:39:22 | DEBUG    | browser | Downloaded: GeM-Bidding-9257947.pdf
2026-05-27 15:39:35 | DEBUG    | browser | Downloaded: GeM-Bidding-9304874.pdf
2026-05-27 15:39:48 | DEBUG    | browser | Downloaded: GeM-Bidding-9329904.pdf
2026-05-27 15:40:03 | INFO     | browser | Browser closed
2026-05-27 17:28:58 | INFO     | browser | Browser launched (stealth mode)
2026-05-27 17:28:58 | INFO     | browser | Opening: https://bidplus.gem.gov.in/all-bids
2026-05-27 17:29:07 | INFO     | browser | GeM listing page loaded
2026-05-27 17:29:12 | DEBUG    | browser | Filters reset
2026-05-27 17:29:12 | INFO     | browser | Selecting filter: Product Bid/RAs
2026-05-27 17:29:22 | DEBUG    | browser | Downloaded: GeM-Bidding-9184990.pdf
2026-05-27 17:31:13 | DEBUG    | browser | Downloaded: GeM-Bidding-8911186.pdf
2026-05-27 17:31:18 | DEBUG    | browser | Downloaded: GeM-Bidding-8968005.pdf
2026-05-27 17:31:25 | DEBUG    | browser | Downloaded: GeM-Bidding-8736998.pdf
2026-05-27 17:31:33 | DEBUG    | browser | Downloaded: GeM-Bidding-9224229.pdf
2026-05-27 17:31:39 | DEBUG    | browser | Downloaded: GeM-Bidding-8529871.pdf
2026-05-27 17:31:46 | DEBUG    | browser | Downloaded: GeM-Bidding-9001099.pdf
2026-05-27 17:31:53 | DEBUG    | browser | Downloaded: GeM-Bidding-8929552.pdf
2026-05-27 17:32:01 | DEBUG    | browser | Downloaded: GeM-Bidding-9192579.pdf
