2026-05-27 10:31:48 | DEBUG    | vector_store | Upserted 28 chunks for GEM/2026/B/7517987
2026-05-27 10:31:49 | DEBUG    | vector_store | Upserted 19 chunks for GEM/2026/B/7520545
2026-05-27 10:31:50 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7501945
2026-05-27 10:31:51 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7518093
2026-05-27 10:31:51 | DEBUG    | vector_store | Upserted 19 chunks for GEM/2026/B/7518305
2026-05-27 10:31:52 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7520859
2026-05-27 10:31:53 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7512626
2026-05-27 10:31:53 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7579099
2026-05-27 10:31:56 | DEBUG    | vector_store | Upserted 158 chunks for GEM/2026/B/7546274
2026-05-27 10:31:58 | DEBUG    | vector_store | Upserted 50 chunks for GEM/2026/B/7501467
2026-05-27 10:31:58 | INFO     | vector_store |   Indexed 10/89
2026-05-27 10:31:59 | DEBUG    | vector_store | Upserted 43 chunks for GEM/2026/B/7311446
2026-05-27 10:31:59 | DEBUG    | vector_store | Upserted 23 chunks for GEM/2026/B/7520307
2026-05-27 10:32:00 | DEBUG    | vector_store | Upserted 51 chunks for GEM/2026/B/7519521
2026-05-27 10:32:01 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7524635
2026-05-27 10:32:02 | DEBUG    | vector_store | Upserted 24 chunks for GEM/2026/B/7578341
2026-05-27 10:32:02 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7552342
2026-05-27 10:32:03 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7560267
2026-05-27 10:32:04 | DEBUG    | vector_store | Upserted 35 chunks for GEM/2026/B/7531528
2026-05-27 10:32:05 | DEBUG    | vector_store | Upserted 27 chunks for GEM/2026/B/7501526
2026-05-27 10:32:06 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2026/B/7501559
2026-05-27 10:32:06 | INFO     | vector_store |   Indexed 20/89
2026-05-27 10:32:06 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7588495
2026-05-27 10:32:07 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7499373
2026-05-27 10:32:08 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2026/B/7530104
2026-05-27 10:32:09 | DEBUG    | vector_store | Upserted 45 chunks for GEM/2026/B/7475057
2026-05-27 10:32:09 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7560028
2026-05-27 10:32:10 | DEBUG    | vector_store | Upserted 24 chunks for GEM/2026/B/7429899
2026-05-27 10:32:11 | DEBUG    | vector_store | Upserted 36 chunks for GEM/2026/B/7509648
2026-05-27 10:32:11 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7473435
2026-05-27 10:32:12 | DEBUG    | vector_store | Upserted 53 chunks for GEM/2026/B/7465807
2026-05-27 10:32:14 | DEBUG    | vector_store | Upserted 55 chunks for GEM/2026/B/7544252
2026-05-27 10:32:14 | INFO     | vector_store |   Indexed 30/89
2026-05-27 10:32:15 | DEBUG    | vector_store | Upserted 63 chunks for GEM/2026/B/7532717
2026-05-27 10:32:17 | DEBUG    | vector_store | Upserted 79 chunks for GEM/2026/B/7525919
2026-05-27 10:32:18 | DEBUG    | vector_store | Upserted 31 chunks for GEM/2026/B/7526325
2026-05-27 10:32:19 | DEBUG    | vector_store | Upserted 80 chunks for GEM/2026/B/7514993
